id,year,orb_drb_avg,height_band
0,1974,104.55172413793103,1.8-1.9
1,1975,111.08333333333333,1.8-1.9
2,1976,96.82758620689656,1.8-1.9
3,1977,113.80392156862744,1.8-1.9
4,1978,110.15517241379311,1.8-1.9
5,1979,126.78048780487805,1.8-1.9
6,1980,115.27659574468085,1.8-1.9
7,1981,96.82456140350877,1.8-1.9
8,1982,116.55319148936171,1.8-1.9
9,1983,123.3061224489796,1.8-1.9
10,1984,112.95744680851064,1.8-1.9
11,1985,111.43181818181819,1.8-1.9
12,1986,97.53191489361703,1.8-1.9
13,1987,99.46341463414635,1.8-1.9
14,1988,87.41666666666667,1.8-1.9
15,1989,97.6842105263158,1.8-1.9
16,1990,94.25714285714285,1.8-1.9
17,1991,133.32075471698113,1.8-1.9
18,1992,104.828125,1.8-1.9
19,1993,136.8653846153846,1.8-1.9
20,1994,116.06896551724138,1.8-1.9
21,1995,105.0327868852459,1.8-1.9
22,1996,112.26760563380282,1.8-1.9
23,1997,94.73684210526316,1.8-1.9
24,1998,107.61643835616438,1.8-1.9
25,1999,60.932432432432435,1.8-1.9
26,2000,111.31481481481481,1.8-1.9
27,2001,110.33898305084746,1.8-1.9
28,2002,96.68571428571428,1.8-1.9
29,2003,101.54098360655738,1.8-1.9
30,2004,85.45569620253164,1.8-1.9
31,2005,95.39024390243902,1.8-1.9
32,2006,103.12121212121212,1.8-1.9
33,2007,107.72881355932203,1.8-1.9
34,2008,99.21212121212122,1.8-1.9
35,2009,106.63157894736842,1.8-1.9
36,2010,107.41269841269842,1.8-1.9
37,2011,111.8970588235294,1.8-1.9
38,2012,89.53846153846153,1.8-1.9
39,2013,93.01388888888889,1.8-1.9
40,2014,107.28358208955224,1.8-1.9
41,2015,107.94736842105263,1.8-1.9
42,2016,111.8108108108108,1.8-1.9
43,2017,124.8125,1.8-1.9
44,1974,195.7191011235955,1.9-2.0
45,1975,179.8659793814433,1.9-2.0
46,1976,180.15,1.9-2.0
47,1977,163.71428571428572,1.9-2.0
48,1978,165.52380952380952,1.9-2.0
49,1979,145.69026548672565,1.9-2.0
50,1980,151.33928571428572,1.9-2.0
51,1981,137.85714285714286,1.9-2.0
52,1982,136.55263157894737,1.9-2.0
53,1983,158.24489795918367,1.9-2.0
54,1984,154.55445544554456,1.9-2.0
55,1985,140.13274336283186,1.9-2.0
56,1986,140.3272727272727,1.9-2.0
57,1987,135.2521739130435,1.9-2.0
58,1988,124.04132231404958,1.9-2.0
59,1989,148.91129032258064,1.9-2.0
60,1990,163.37301587301587,1.9-2.0
61,1991,146.63358778625954,1.9-2.0
62,1992,135.01973684210526,1.9-2.0
63,1993,164.4227642276423,1.9-2.0
64,1994,154.3658536585366,1.9-2.0
65,1995,138.327868852459,1.9-2.0
66,1996,150.58,1.9-2.0
67,1997,136.14285714285714,1.9-2.0
68,1998,128.46666666666667,1.9-2.0
69,1999,90.48507462686567,1.9-2.0
70,2000,159.49285714285713,1.9-2.0
71,2001,146.59868421052633,1.9-2.0
72,2002,153.45384615384614,1.9-2.0
73,2003,164.2689075630252,1.9-2.0
74,2004,161.6962962962963,1.9-2.0
75,2005,152.82014388489208,1.9-2.0
76,2006,141.6344827586207,1.9-2.0
77,2007,155.30714285714285,1.9-2.0
78,2008,136.2814371257485,1.9-2.0
79,2009,134.28758169934642,1.9-2.0
80,2010,130.46706586826346,1.9-2.0
81,2011,128.86705202312137,1.9-2.0
82,2012,101.7639751552795,1.9-2.0
83,2013,128.5722891566265,1.9-2.0
84,2014,119.53846153846153,1.9-2.0
85,2015,117.95192307692308,1.9-2.0
86,2016,132.80555555555554,1.9-2.0
87,2017,135.0983606557377,1.9-2.0
88,1974,345.962962962963,2.0-2.1
89,1975,326.625,2.0-2.1
90,1976,331.24,2.0-2.1
91,1977,302.09090909090907,2.0-2.1
92,1978,270.56050955414014,2.0-2.1
93,1979,310.16279069767444,2.0-2.1
94,1980,304.158273381295,2.0-2.1
95,1981,302.67910447761193,2.0-2.1
96,1982,288.89102564102564,2.0-2.1
97,1983,271.5174418604651,2.0-2.1
98,1984,266.2638888888889,2.0-2.1
99,1985,263.744966442953,2.0-2.1
100,1986,267.0137931034483,2.0-2.1
101,1987,259.25850340136054,2.0-2.1
102,1988,242.26174496644296,2.0-2.1
